date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,savings_vs_alpha_km,savings_vs_alpha_pct,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km,savings_vs_random_mean_km,savings_vs_random_mean_pct,random_iters,random_seed
2025-12-22,7201,UNKNOWN,9,9.115,9.717,0.602,6.19,18.432,15.921,21.953,9.316,50.54,50,42
2025-12-22,7224,UNKNOWN,5,7.021,10.18,3.159,31.03,11.385,9.654,13.548,4.364,38.33,50,42
2025-12-22,7873,UNKNOWN,4,10.372,10.372,0.0,0.0,16.429,12.796,18.967,6.057,36.87,50,42
2025-12-22,7912,UNKNOWN,16,13.038,13.965,0.927,6.64,26.62,20.773,28.761,13.581,51.02,50,42
2025-12-22,7924,UNKNOWN,26,35.988,52.679,16.691,31.68,131.976,116.771,145.28,95.988,72.73,50,42
2025-12-22,8359,UNKNOWN,9,11.156,12.188,1.033,8.47,20.838,15.967,23.036,9.682,46.47,50,42
2025-12-22,8527,UNKNOWN,6,7.566,12.938,5.372,41.52,13.575,10.778,15.82,6.009,44.27,50,42
2025-12-22,9279,UNKNOWN,6,7.344,8.726,1.382,15.84,17.107,9.486,21.633,9.763,57.07,50,42
2025-12-22,9785,UNKNOWN,12,7.589,10.656,3.068,28.79,19.561,17.069,22.282,11.973,61.21,50,42
2025-12-22,9928,UNKNOWN,6,18.182,28.342,10.16,35.85,30.206,21.576,39.59,12.024,39.81,50,42
2025-12-23,1106,UNKNOWN,20,18.612,23.478,4.866,20.73,96.356,79.419,116.475,77.744,80.68,50,42
2025-12-23,1409,UNKNOWN,8,7.269,7.269,0.0,0.0,12.949,8.655,15.25,5.68,43.86,50,42
2025-12-23,1434,UNKNOWN,24,13.655,21.953,8.298,37.8,52.949,47.089,57.379,39.294,74.21,50,42
2025-12-23,1488,UNKNOWN,7,5.541,6.197,0.656,10.59,13.887,6.618,18.862,8.346,60.1,50,42
2025-12-23,1520,UNKNOWN,2,14.384,14.384,0.0,0.0,14.384,14.384,14.384,0.0,0.0,50,42
2025-12-23,1711,UNKNOWN,13,12.95,16.667,3.717,22.3,35.052,28.959,39.718,22.103,63.06,50,42
2025-12-23,2291,UNKNOWN,3,11.564,19.073,7.509,39.37,14.615,11.564,19.073,3.051,20.88,50,42
2025-12-23,2424,UNKNOWN,10,15.913,15.913,0.0,0.0,41.006,32.462,48.841,25.094,61.19,50,42
2025-12-23,2519,UNKNOWN,8,9.704,10.207,0.502,4.92,18.599,12.923,21.628,8.895,47.82,50,42
2025-12-23,2535,UNKNOWN,7,35.333,45.151,9.818,21.74,57.44,44.279,68.676,22.107,38.49,50,42
2025-12-23,2584,UNKNOWN,8,20.994,21.18,0.186,0.88,33.8,23.388,42.506,12.806,37.89,50,42
2025-12-23,2674,UNKNOWN,6,9.254,9.462,0.207,2.19,15.118,9.945,18.309,5.864,38.79,50,42
2025-12-23,2679,UNKNOWN,9,3.173,3.192,0.019,0.6,6.013,4.957,7.04,2.84,47.23,50,42
2025-12-23,2824,UNKNOWN,18,12.176,12.912,0.736,5.7,39.43,32.185,45.748,27.254,69.12,50,42
2025-12-23,3045,UNKNOWN,13,6.542,7.212,0.67,9.29,19.536,15.475,22.605,12.994,66.51,50,42
2025-12-23,3286,UNKNOWN,11,10.991,11.36,0.369,3.25,41.392,30.715,51.347,30.401,73.45,50,42
2025-12-23,3547,UNKNOWN,12,11.255,18.774,7.519,40.05,30.281,25.608,35.238,19.027,62.83,50,42
2025-12-23,3615,UNKNOWN,18,27.064,41.112,14.048,34.17,67.075,59.023,74.191,40.011,59.65,50,42
2025-12-23,4257,UNKNOWN,17,22.346,44.808,22.462,50.13,94.963,79.035,111.741,72.617,76.47,50,42
2025-12-23,4527,UNKNOWN,11,6.07,6.452,0.381,5.91,18.761,13.001,22.037,12.691,67.64,50,42
2025-12-23,4582,UNKNOWN,4,11.827,11.827,0.0,0.0,15.849,12.022,18.491,4.023,25.38,50,42
2025-12-23,4657,UNKNOWN,11,27.365,27.325,-0.04,-0.15,65.866,46.029,84.058,38.501,58.45,50,42
2025-12-23,4811,UNKNOWN,7,10.246,12.312,2.066,16.78,18.676,12.494,22.295,8.43,45.14,50,42
2025-12-23,5012,UNKNOWN,13,18.127,18.485,0.358,1.94,35.614,28.632,41.077,17.487,49.1,50,42
2025-12-23,5506,UNKNOWN,7,2.764,3.003,0.24,7.98,6.227,4.897,7.544,3.464,55.62,50,42
2025-12-23,5552,UNKNOWN,10,8.89,9.088,0.198,2.18,18.08,14.37,20.611,9.19,50.83,50,42
2025-12-23,5557,UNKNOWN,4,16.425,16.425,0.0,0.0,23.946,16.553,32.034,7.521,31.41,50,42
2025-12-23,5803,UNKNOWN,13,16.318,18.928,2.609,13.79,54.561,44.508,66.988,38.243,70.09,50,42
2025-12-23,6514,UNKNOWN,9,21.969,17.993,-3.976,-22.1,48.994,38.422,59.937,27.025,55.16,50,42
2025-12-23,6574,UNKNOWN,25,22.955,30.22,7.265,24.04,86.542,73.344,100.239,63.587,73.48,50,42
2025-12-23,6635,UNKNOWN,11,12.841,13.543,0.701,5.18,23.393,20.048,26.512,10.551,45.11,50,42
2025-12-23,6881,UNKNOWN,11,5.852,6.944,1.092,15.73,15.198,12.018,18.038,9.345,61.49,50,42
2025-12-23,7201,UNKNOWN,12,18.211,24.301,6.091,25.06,65.375,53.436,80.392,47.165,72.14,50,42
2025-12-23,7224,UNKNOWN,6,9.192,10.322,1.131,10.95,15.177,11.911,18.818,5.985,39.44,50,42
2025-12-23,7873,UNKNOWN,10,11.608,11.68,0.072,0.61,26.547,21.297,31.848,14.939,56.27,50,42
2025-12-23,7912,UNKNOWN,6,12.943,14.425,1.482,10.28,26.589,16.083,34.827,13.646,51.32,50,42
2025-12-23,7924,UNKNOWN,25,29.869,60.269,30.4,50.44,127.141,107.153,146.367,97.272,76.51,50,42
2025-12-23,8359,UNKNOWN,4,4.294,4.294,0.0,0.0,6.781,4.621,8.219,2.487,36.68,50,42
2025-12-23,8527,UNKNOWN,4,10.371,10.371,0.0,0.0,15.512,10.371,19.302,5.141,33.14,50,42
2025-12-23,9279,UNKNOWN,11,18.647,31.976,13.329,41.68,42.092,35.218,48.086,23.444,55.7,50,42
2025-12-23,9785,UNKNOWN,8,11.249,11.249,0.0,0.0,23.787,16.118,29.748,12.538,52.71,50,42
2025-12-23,9928,UNKNOWN,5,11.229,11.229,0.0,0.0,25.952,12.653,38.258,14.722,56.73,50,42
2025-12-24,1106,UNKNOWN,23,14.252,19.529,5.277,27.02,41.94,36.837,45.448,27.688,66.02,50,42
2025-12-24,1409,UNKNOWN,6,14.529,14.529,0.0,0.0,22.54,15.873,28.699,8.011,35.54,50,42
2025-12-24,1434,UNKNOWN,20,17.904,43.876,25.972,59.19,60.477,50.512,69.984,42.573,70.4,50,42
2025-12-24,1488,UNKNOWN,4,5.124,5.124,0.0,0.0,7.702,5.684,9.9,2.578,33.47,50,42
2025-12-24,1520,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-24,1711,UNKNOWN,5,17.198,23.609,6.411,27.15,24.089,17.479,29.224,6.891,28.61,50,42
2025-12-24,2291,UNKNOWN,3,11.411,11.411,0.0,0.0,14.698,11.411,21.43,3.287,22.36,50,42
2025-12-24,2424,UNKNOWN,15,15.222,15.693,0.471,3.0,37.318,32.924,41.544,22.095,59.21,50,42
2025-12-24,2519,UNKNOWN,7,11.21,11.231,0.02,0.18,19.662,14.599,23.678,8.451,42.98,50,42
2025-12-24,2535,UNKNOWN,2,9.002,9.002,0.0,0.0,9.002,9.002,9.002,0.0,0.0,50,42
2025-12-24,2584,UNKNOWN,7,9.307,9.307,0.0,0.0,16.679,11.04,19.99,7.372,44.2,50,42
2025-12-24,2674,UNKNOWN,7,9.909,10.1,0.191,1.89,15.979,11.061,20.349,6.07,37.99,50,42
2025-12-24,2679,UNKNOWN,7,8.323,8.982,0.659,7.34,14.847,10.406,17.598,6.525,43.94,50,42
2025-12-24,2824,UNKNOWN,10,11.624,12.039,0.415,3.45,21.624,18.417,23.783,10.0,46.25,50,42
2025-12-24,3045,UNKNOWN,8,5.715,5.728,0.013,0.23,16.302,10.676,21.109,10.587,64.94,50,42
2025-12-24,3286,UNKNOWN,4,9.971,9.971,0.0,0.0,14.991,10.398,17.933,5.02,33.48,50,42
2025-12-24,3547,UNKNOWN,14,10.293,21.667,11.374,52.5,38.367,30.448,46.261,28.074,73.17,50,42
2025-12-24,3615,UNKNOWN,19,23.106,44.572,21.466,48.16,71.958,58.331,84.374,48.852,67.89,50,42
2025-12-24,4257,UNKNOWN,17,23.143,46.956,23.813,50.71,99.985,77.194,117.322,76.842,76.85,50,42
2025-12-24,4527,UNKNOWN,3,5.67,5.923,0.253,4.27,6.734,5.67,10.382,1.064,15.8,50,42
2025-12-24,4582,UNKNOWN,3,9.698,9.698,0.0,0.0,13.016,9.698,14.728,3.318,25.49,50,42
2025-12-24,4657,UNKNOWN,9,26.155,43.543,17.388,39.93,52.33,38.372,68.737,26.176,50.02,50,42
2025-12-24,4811,UNKNOWN,4,9.316,9.535,0.219,2.29,13.727,9.535,18.857,4.411,32.13,50,42
2025-12-24,5012,UNKNOWN,5,15.5,15.5,0.0,0.0,22.761,18.364,27.641,7.261,31.9,50,42
2025-12-24,5506,UNKNOWN,12,7.659,8.622,0.963,11.17,14.869,9.862,16.152,7.21,48.49,50,42
2025-12-24,5552,UNKNOWN,3,2.105,2.105,0.0,0.0,2.732,2.105,4.189,0.628,22.97,50,42
2025-12-24,5557,UNKNOWN,16,27.012,40.876,13.864,33.92,120.581,98.009,147.371,93.569,77.6,50,42
2025-12-24,5803,UNKNOWN,15,15.379,21.362,5.983,28.01,57.507,48.686,65.931,42.128,73.26,50,42
2025-12-24,6514,UNKNOWN,6,13.237,13.898,0.66,4.75,26.936,19.464,32.567,13.699,50.86,50,42
2025-12-24,6574,UNKNOWN,24,31.539,52.99,21.451,40.48,96.291,84.931,108.445,64.752,67.25,50,42
2025-12-24,6635,UNKNOWN,16,13.63,15.07,1.44,9.56,42.638,33.335,50.79,29.008,68.03,50,42
2025-12-24,6881,UNKNOWN,7,5.698,6.607,0.909,13.76,12.429,8.625,16.276,6.731,54.16,50,42
2025-12-24,7201,UNKNOWN,5,7.363,7.363,0.0,0.0,10.715,9.204,12.719,3.352,31.28,50,42
2025-12-24,7224,UNKNOWN,6,9.901,10.12,0.22,2.17,21.225,14.841,27.985,11.325,53.35,50,42
