date,vehicle_id,vehicle_type,stop_order,Mahalle,latitude,longitude,distance_from_prev_km
2025-12-23,5012,Large Garbage Truck,6,Kurucesme Mh.,40.125695829132766,28.822310411638973,6.655
2025-12-23,5012,Large Garbage Truck,7,Maksempinari Mh.,40.12811649,28.76681394,4.726
2025-12-23,5012,Large Garbage Truck,8,Uncukuru Mh.,40.11845090527286,28.72732823173819,3.525
2025-12-23,5012,Large Garbage Truck,9,Yolcati Mh.,40.25811501,28.8694505,19.67
2025-12-23,5506,Large Garbage Truck,1,Dagyenice Mh.,40.15689922319227,28.95859969344273,0.0
2025-12-23,5506,Large Garbage Truck,2,Dogankoy Mh.,40.25563940934963,28.9212385,11.429
2025-12-23,5506,Large Garbage Truck,3,Kizilcikli Mh.,40.19322430925737,28.808681,11.81
2025-12-23,5506,Large Garbage Truck,4,Kurtulus Mh.,40.214571500000005,28.826486,2.814
2025-12-23,6574,Small Garbage Truck,1,Kultur Mh.,40.200249465,28.9648605,0.0
2025-12-23,7912,Small Garbage Truck,1,Kultur Mh.,40.200249465,28.9648605,0.0
2025-12-24,1409,Large Garbage Truck,1,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-24,1409,Large Garbage Truck,2,Ucevler Mh.,40.1998565,28.947401,0.0
2025-12-24,1434,Large Garbage Truck,1,Alaaddinbey Mh.,40.2086475,28.92314448,0.0
2025-12-24,1434,Large Garbage Truck,2,Kadriye Mh.,40.09270964374126,28.86816272078864,13.713
2025-12-24,1434,Large Garbage Truck,3,Ucpinar Mh.,40.1029799833047,28.840132581273483,2.644
2025-12-24,1488,Large Garbage Truck,1,Atlas Mh.,40.12221097784862,28.8869401429014,0.0
2025-12-24,1488,Large Garbage Truck,2,Badirga Mh.,40.2469685,28.69442244,21.445
2025-12-24,1488,Large Garbage Truck,3,Baskoy Mh.,40.21226591331904,28.74959897704878,6.069
2025-12-24,1488,Large Garbage Truck,4,Catalagil Mh.,40.21763428660456,28.70559812927568,3.784
2025-12-24,1488,Large Garbage Truck,5,Cayli Mh.,40.27456808640988,28.74523837386844,7.169
2025-12-24,1488,Large Garbage Truck,6,Irfaniye Mh.,40.23388919234314,28.815429137902697,7.479
2025-12-24,1488,Large Garbage Truck,7,Karacaoba Mh.,40.21613802,28.7253189,7.901
2025-12-24,1488,Large Garbage Truck,8,Konakli Mh.,40.255981965,28.75887162,5.267
2025-12-24,1488,Large Garbage Truck,9,Tahtali Mh.,40.17589430675844,28.87803875512328,13.479
2025-12-24,1520,Crane Vehicle,1,Akcalar Mh.,40.177273005,28.745869499999998,0.0
