date,vehicle_id,total_dist_km,total_idle_sec,total_stop_sec,first_ts,last_ts,odo_min,odo_max,records,odo_dist_km,work_duration_sec,total_idle_hr,total_stop_hr,work_duration_hr
2025-12-20,3547,565106.11,36331.0,1297220.0,2025-12-20 00:00:00,2025-12-20 23:55:25,94483.4,94634.75,2435,151.35000000000582,86125.0,10.091944444444444,360.3388888888889,23.92361111111111
2025-12-20,3615,413139.28,69295.0,912737.0,2025-12-20 00:00:02,2025-12-20 23:54:51,193597.14,193737.4,2222,140.2599999999802,86089.0,19.24861111111111,253.53805555555556,23.913611111111113
2025-12-20,4257,839734.04,44900.0,813372.0,2025-12-20 00:01:25,2025-12-20 23:58:57,290131.61,290309.27,3218,177.6600000000326,86252.0,12.472222222222221,225.93666666666667,23.95888888888889
2025-12-20,4527,154262.71,26130.0,1234961.0,2025-12-20 00:00:26,2025-12-20 23:58:57,161883.58,161941.83,1444,58.25,86311.0,7.258333333333334,343.0447222222222,23.975277777777777
2025-12-20,4582,213158.11,30694.0,3536985.0,2025-12-20 00:02:13,2025-12-20 23:56:27,269141.34,269217.13,1479,75.78999999997905,86054.0,8.526111111111112,982.4958333333333,23.90388888888889
2025-12-20,4657,113529.26,34000.0,1158251.0,2025-12-20 00:08:40,2025-12-20 23:53:23,150737.73,150816.15,1833,78.4199999999837,85483.0,9.444444444444445,321.7363888888889,23.745277777777776
2025-12-20,4811,137940.59,22732.0,3816366.0,2025-12-20 00:06:56,2025-12-20 23:55:41,284355.74,284424.35,1411,68.60999999998603,85725.0,6.314444444444445,1060.1016666666667,23.8125
2025-12-20,5012,235494.29,20251.0,980433.0,2025-12-20 06:51:38,2025-12-20 23:52:42,162066.8,162129.85,1889,63.05000000001746,61264.0,5.625277777777778,272.3425,17.017777777777777
2025-12-20,5333,1658412.25,22896049.0,22896049.0,2025-12-20 00:00:04,2025-12-20 23:59:18,291720.78,291808.63,10675,87.84999999997672,86354.0,6360.0136111111115,6360.0136111111115,23.987222222222222
2025-12-20,5506,128996.09,19476.0,4111986.0,2025-12-20 00:09:20,2025-12-20 23:53:56,276911.75,276969.71,1340,57.960000000020955,85476.0,5.41,1142.2183333333332,23.743333333333332
2025-12-20,5552,790754.57,0.0,784783.0,2025-12-20 00:07:26,2025-12-20 23:59:23,184765.32,184941.64,2819,176.32000000000698,85917.0,0.0,217.99527777777777,23.865833333333335
2025-12-20,5557,378956.81,18386.0,2188494.0,2025-12-20 00:05:44,2025-12-20 23:09:47,116119.13,116216.81,2038,97.67999999999302,83043.0,5.107222222222222,607.915,23.0675
2025-12-20,5803,143875.8,25020.0,25020.0,2025-12-20 06:54:22,2025-12-20 13:01:51,143633.46,143686.28,1288,52.820000000006985,22049.0,6.95,6.95,6.124722222222222
2025-12-20,6514,673659.71,669903.0,2152227.0,2025-12-20 00:00:05,2025-12-20 23:57:55,114238.13,114398.59,2641,160.45999999999185,86270.0,186.08416666666668,597.8408333333333,23.96388888888889
2025-12-20,6574,546690.74,55997.0,949621.0,2025-12-20 00:00:05,2025-12-20 23:57:43,144325.5,144470.93,2551,145.42999999999302,86258.0,15.554722222222223,263.7836111111111,23.960555555555555
2025-12-20,6635,244268.66,78021.0,36240041.0,2025-12-20 00:00:12,2025-12-20 23:59:14,203031.43,203049.13,2902,17.70000000001164,86342.0,21.6725,10066.678055555556,23.983888888888888
