date,Mahalle,total_time_in_neigh_sec,total_dist_in_neigh_km,total_idle_in_neigh_sec,total_stop_in_neigh_sec,total_points,vehicles_served,total_time_in_neigh_hr,total_idle_in_neigh_hr,total_stop_in_neigh_hr
2025-12-20,Çatalağıl Mh.,2344.0,33115.87,1568.0,1568.0,199,1,0.6511111111111111,0.43555555555555553,0.43555555555555553
2025-12-20,Çaylı Mahallesi,5.0,181.86,0.0,0.0,1,1,0.001388888888888889,0.0,0.0
2025-12-20,Çaylı Mh.,1434.0,24663.350000000002,794.0,794.0,123,2,0.3983333333333333,0.22055555555555556,0.22055555555555556
2025-12-20,Özlüce Mh.,8815.0,126843.98,8136.0,8136.0,458,3,2.448611111111111,2.26,2.26
2025-12-20,Ürünlü Mh.,491.0,8699.15,63.0,63.0,47,4,0.1363888888888889,0.0175,0.0175
2025-12-20,Üçevler Mh.,83249.0,1114053.39,54788.0,1386249.0,6407,42,23.12472222222222,15.21888888888889,385.06916666666666
2025-12-20,İhsaniye Mh.,36431.0,260040.03,46588.0,47422.0,2153,10,10.119722222222222,12.94111111111111,13.172777777777778
2025-12-20,İrfaniye Mahallesi,13.0,296.41999999999996,0.0,0.0,2,1,0.003611111111111111,0.0,0.0
2025-12-20,İrfaniye Mh.,6516.0,86112.70999999999,6573.0,6573.0,539,5,1.81,1.8258333333333334,1.8258333333333334
2025-12-21,19 Mayıs Mh.,4448.0,23447.64,8259.0,8259.0,105,2,1.2355555555555555,2.2941666666666665,2.2941666666666665
2025-12-21,23 Nisan Mh.,16698.0,318579.28,15079.0,15351.0,960,16,4.638333333333334,4.188611111111111,4.264166666666667
2025-12-21,29 Ekim Mh.,10650.0,200400.82,8882.0,10162.0,659,11,2.9583333333333335,2.4672222222222224,2.8227777777777776
2025-12-21,30 Ağustos Zafer Mh.,18334.0,152434.05,15504.0,35671.0,634,1,5.092777777777778,4.306666666666667,9.908611111111112
2025-12-21,Ahmet Yesevi Mh.,3109.0,74787.69,1179.0,1429.0,259,14,0.8636111111111111,0.3275,0.39694444444444443
2025-12-21,Alaaddinbey Mh.,1681161.0,2420750.92,97210276.0,389354794.0,12573,41,466.9891666666667,27002.854444444445,108154.10944444445
2025-12-21,Altınşehir Mh.,8344.0,139047.34,6169.0,28483.0,435,5,2.3177777777777777,1.7136111111111112,7.911944444444444
2025-12-21,Ataevler Mh.,6282.0,106131.55,5205.0,5537.0,429,10,1.745,1.4458333333333333,1.5380555555555555
2025-12-21,Balat Mh.,4256.0,163197.0,574.0,574.0,540,14,1.1822222222222223,0.15944444444444444,0.15944444444444444
2025-12-21,Balat OSB Mh.,1059.0,31272.4,69.0,155.0,99,15,0.2941666666666667,0.019166666666666665,0.043055555555555555
2025-12-21,Balkan Mh.,9397.0,109735.65,4184.0,20478.0,441,3,2.6102777777777777,1.1622222222222223,5.6883333333333335
2025-12-21,Barış Mh.,4539.0,65683.28,7078.0,8406.0,189,6,1.2608333333333333,1.9661111111111111,2.335
2025-12-21,Beşevler Mh.,27084.0,301750.5,21752.0,30546.0,1535,11,7.523333333333333,6.042222222222223,8.485
2025-12-21,Cumhuriyet Mh.,5791.0,68780.82,8465.0,8736.0,277,5,1.6086111111111112,2.3513888888888888,2.4266666666666667
2025-12-21,Demirci Mh.,2269.0,82772.89,575.0,839.0,241,9,0.6302777777777778,0.1597222222222222,0.23305555555555554
2025-12-21,Doğanköy Mh.,1892.0,65667.88,20.0,20.0,197,9,0.5255555555555556,0.005555555555555556,0.005555555555555556
2025-12-21,Dumlupınar Mh.,43799.0,505240.68,23234.0,50489.0,2010,8,12.16638888888889,6.453888888888889,14.024722222222222
2025-12-21,Ertuğrul Mh.,4291.0,105089.45999999999,2858.0,3486.0,348,10,1.1919444444444445,0.7938888888888889,0.9683333333333334
2025-12-21,Esentepe Mh.,9922.0,105853.43,4411.0,12362.0,337,8,2.756111111111111,1.2252777777777777,3.4338888888888888
2025-12-21,Fethiye Mh.,9755.0,122506.73999999999,4368.0,12728.0,422,9,2.709722222222222,1.2133333333333334,3.5355555555555553
2025-12-21,Fethiye OSB Mh.,3959.0,144370.84,862.0,1078.0,473,15,1.0997222222222223,0.23944444444444443,0.29944444444444446
2025-12-21,Geçit Mh.,17395.0,447828.85,1886.0,33814.0,1468,15,4.831944444444445,0.5238888888888888,9.392777777777777
2025-12-21,Görükle Mh.,36771.0,627180.52,23007.0,36612.0,2043,11,10.214166666666667,6.390833333333333,10.17
