date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency
2025-12-22,Pazartesi,İNEGAZİ MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,İRFANİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,KADRİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,KARACAOBA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,KARAMAN MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,KAYAPA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-22,Pazartesi,KONAKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ODUNLUK MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÖZLÜCE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,TAHTALI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÜÇEVLER MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÜÇEVLER MAHALLESİ,0,Small Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÜÇPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,ÜRÜNLÜ MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-22,Pazartesi,YAYLACIK MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-23,Salı,23 NİSAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,AHMET YESEVİ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,ALTINŞEHİR MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,ATAEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,AYVAKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,BALAT MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,BALKAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,BEŞEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,ÇAMLICA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,DAĞYENİCE MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,DEMİRCİ MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,DOĞANKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,FADILLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,GÜNGÖREN MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,HASANAĞA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KIZILCIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KORUBAŞI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KURTULUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KURUÇEŞME MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KÜLTÜR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,KÜLTÜR MAHALLESİ,0,Small Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,MAKSEMPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,MİNARELİÇAVUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,UNÇUKURU MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-23,Salı,YOLÇATI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-24,Çarşamba,19 MAYIS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,30 AĞUSTOS MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,AKÇALAR MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ALAADİNBEY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ATLAS MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,BADIRGA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,BARIŞ MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,BAŞKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,BÜYÜKBALIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,CUMHURİYET MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÇALI MAHALLESİ,1,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÇATALAĞIL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÇAYLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-24,Çarşamba,ERTUĞRUL MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ESENTEPE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-24,Çarşamba,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-24,Çarşamba,GÖKÇE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-24,Çarşamba,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-24,Çarşamba,HASANAĞA MAHALLESİ,0,Small Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,IŞIKTEPE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-24,Çarşamba,İNEGAZİ MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
