date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km
2025-12-25,1434,UNKNOWN,3,3.191,3.519,4.199,3.191,5.953
2025-12-25,1488,UNKNOWN,2,0.741,0.741,0.741,0.741,0.741
2025-12-25,2424,UNKNOWN,3,0.525,0.525,0.538,0.525,0.555
2025-12-25,2674,UNKNOWN,2,1.057,1.057,1.057,1.057,1.057
2025-12-25,2679,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,2824,UNKNOWN,4,0.751,0.751,1.053,0.821,1.343
2025-12-25,3045,UNKNOWN,3,0.452,0.452,0.592,0.452,0.745
2025-12-25,3286,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,3547,UNKNOWN,2,4.006,4.006,4.006,4.006,4.006
2025-12-25,3615,UNKNOWN,7,11.93,12.407,19.654,16.383,22.628
2025-12-25,4257,UNKNOWN,7,19.049,28.745,32.64,25.786,38.973
2025-12-25,4527,UNKNOWN,3,4.433,4.433,6.02,4.433,8.826
2025-12-25,4811,UNKNOWN,2,0.067,0.067,0.067,0.067,0.067
2025-12-25,5012,UNKNOWN,2,8.791,8.791,8.791,8.791,8.791
2025-12-25,5506,UNKNOWN,2,0.307,0.307,0.307,0.307,0.307
2025-12-25,5552,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,5803,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,6514,UNKNOWN,2,0.115,0.115,0.115,0.115,0.115
2025-12-25,6574,UNKNOWN,3,4.34,4.509,5.599,4.34,8.324
2025-12-25,6635,UNKNOWN,3,0.751,0.751,0.963,0.751,1.141
2025-12-25,6881,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7201,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7912,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7924,UNKNOWN,10,27.021,46.547,57.894,46.667,67.632
2025-12-25,8527,UNKNOWN,2,0.701,0.701,0.701,0.701,0.701
2025-12-25,9279,UNKNOWN,2,5.193,5.193,5.193,5.193,5.193
2025-12-25,9785,UNKNOWN,2,0.266,0.266,0.266,0.266,0.266
2025-12-25,9928,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
